AGGREGATING INTERPRO annotations
taxid	genes_aggregated	genes_in_db	\% annotated
3702	21833	27655	0.7894774905080456
4081	23355	34075	0.685399853264857
29760	18865	26346	0.716047976922493
3055	9740	17741	0.5490107660222084
3218	18192	32458	0.5604781563867152
3329	33425	66632	0.5016358506423341
3197	11686	19421	0.6017197878585037
88036	15660	22285	0.702714830603545
13333	15954	27313	0.5841174532274008
2762	10546	24702	0.4269289936037568
3311	21091	41309	0.5105667045922196
4530	25429	42189	0.6027400507241224
4577	24297	41576	0.5843996536463344
4558	23278	34129	0.6820592458026898
4565	83096	107545	0.7726626063508298
3694	30219	42950	0.7035855646100116
3708	69251	101040	0.6853820269200317
3847	39310	52872	0.7434937206839158
3711	32762	40492	0.8090980934505582
4513	23436	37673	0.6220900910466381
3635	56100	72761	0.771017440661893
3880	30010	50444	0.5949171358337959
4113	22796	39028	0.5840934713538998
4232	36369	52243	0.6961506804739391
15368	36859	52972	0.6958204334365325
4097	46739	69500	0.6725035971223021
3659	16962	21503	0.7888201646281914
3885	21988	27433	0.8015164218277258
3760	37539	47089	0.7971925502771348
3983	26843	33849	0.7930219504268959
4072	26704	34899	0.7651795180377661
3712	25105	35400	0.709180790960452
3750	24505	53922	0.4544527280145395
3654	16158	22546	0.7166681451255211
3656	17612	29980	0.5874583055370247
206008	30993	44192	0.7013260318609703
3634	57206	75071	0.7620252827323467
3707	58443	79644	0.7338029230073828
2711	19771	25379	0.7790299066157059
4100	39611	57140	0.693227161358068
3357	50149	149717	0.334958621933381
4571	159748	196105	0.8146044211009408
161934	17389	26923	0.6458789882256807
4555	24804	34584	0.7172102706453851
4641	27148	35048	0.77459484136042
4084	19709	25744	0.7655764449968925
4615	17151	25783	0.6652057557305201
81970	25380	34087	0.7445653768298764
4556	35632	52459	0.6792352122610038
38873	40501	50841	0.7966208375130308
326968	24504	29293	0.8365138428976205
4146	30725	50684	0.6062070870491674
3981	28186	35196	0.8008296397317877
3827	21448	30257	0.7088607594936709
42229	22633	42794	0.5288825536290134
38705	23165	31987	0.7242004564354269
4039	22802	32109	0.710143573452926
3726	31118	46512	0.669031647746818
59689	23496	31073	0.7561548611334599
3888	34842	57835	0.6024379700873174
37334	30676	42886	0.7152917035862519
3562	15700	21703	0.7234022946136479
28526	31681	47679	0.6644644392709579
90675	72764	94352	0.771197218924877
4111	18509	42035	0.4403235399072202
3641	19613	27379	0.7163519485737244
63459	35096	44776	0.7838127568340182
74649	27071	39669	0.6824220424008671
29655	15615	20450	0.7635696821515893
37682	172871	258680	0.6682812741611257
4432	19834	26685	0.7432640059958778
3625	27663	33115	0.8353616186018421
57918	20057	32831	0.6109165118333283
4155	22418	28140	0.7966595593461265
180498	30608	57437	0.5328969131396138
4572	22230	33482	0.6639388328056867
3649	16299	27768	0.5869706136560069
29730	63235	78371	0.8068673361319876
49451	23657	33320	0.7099939975990396
3821	34822	48680	0.7153245686113393
62335	37318	53284	0.7003603333083102
4529	29402	47441	0.6197592799477245
51953	20962	26059	0.8044053877738977
296587	7017	10103	0.6945461744036425
4543	21981	38579	0.5697659348350139
4686	17204	27395	0.6279978098193101
50452	16723	23286	0.7181568324315039
93759	20375	35704	0.5706643513331839
28532	22774	27396	0.831289239305008
210143	17178	29356	0.585161466139801
49390	20070	25574	0.7847814186282943
110835	32236	41555	0.7757429912164601
71139	27545	36349	0.757792511485873
85681	27927	34557	0.8081430679746506
81985	21895	26521	0.8255721880773726
157791	18215	23181	0.7857728311979638
57577	27486	39943	0.6881305860851714
3988	19822	31221	0.6348931808718491
3914	21521	33860	0.6355877141169521
AGGREGATING MAPMAN annotations
taxid	genes_aggregated	genes_in_db	\% annotated
Traceback (most recent call last):
  File "/home/william/code/omnibus-uploader-2/uploaders/scripts/interpro.py", line 88, in <module>
    ga_id=ga_aggregator.get_ga_id(row.bincode)
  File "/home/william/code/omnibus-uploader-2/uploaders/aggregators/gene_annotation.py", line 63, in get_ga_id
    return self.ga_dict[label].id
KeyError: '15.5.20'


AGGREGATING MAPMAN annotations
taxid	genes_aggregated	genes_in_db	\% annotated
3702	27655	27655	1.0
4081	27251	34075	0.7997358767424798
29760	22181	26346	0.8419114856145146
3055	17741	17741	1.0
3218	19220	32458	0.592149855197486
3329	42804	66632	0.6423940449033497
3197	11656	19421	0.6001750682251171
88036	16417	22285	0.7366838680726946
13333	18514	27313	0.6778457144949291
2762	6884	24702	0.27868188810622624
3311	24350	41309	0.5894599239875088
4530	42189	42189	1.0
4577	29808	41576	0.7169520877429286
4558	28194	34129	0.826100969849688
4565	107545	107545	1.0
3694	35329	42950	0.8225611175785797
3708	87353	101040	0.8645387965162312
3847	45558	52872	0.8616659101225601
3711	38693	40492	0.9555714709078337
4513	34629	37673	0.9191994266450774
3635	63399	72761	0.8713321697062987
3880	34053	50444	0.6750654190785822
4113	26010	39028	0.6664446038741416
4232	41584	52243	0.7959726661945141
15368	45308	52972	0.8553197915880087
4097	52015	69500	0.7484172661870504
3659	19398	21503	0.9021066827884481
3885	24700	27433	0.9003754602121532
3760	42762	47089	0.9081101743506976
3983	30651	33849	0.9055215811397678
4072	29830	34899	0.8547522851657641
3712	31627	35400	0.8934180790960452
3750	36444	53922	0.6758651385334372
3654	18660	22546	0.8276412667435465
3656	20664	29980	0.6892595063375584
206008	37139	44192	0.8404009775524982
3634	64782	75071	0.8629430805504122
3707	71102	79644	0.8927477273868716
2711	22955	25379	0.9044879624886717
4100	47642	57140	0.8337766888344417
3357	55746	149717	0.3723424861572166
4571	194910	196105	0.9939063256928686
161934	19374	26923	0.7196077703079151
4555	29973	34584	0.8666724496877168
4641	31857	35048	0.9089534352887468
4084	22191	25744	0.8619872591671845
4615	20614	25783	0.7995190629484544
81970	30917	34087	0.907002669639452
4556	43508	52459	0.8293715091785966
38873	48158	50841	0.9472276312425011
326968	27311	29293	0.9323387840098317
4146	35715	50684	0.7046602478099597
3981	32218	35196	0.915388112285487
3827	23632	30257	0.781042403410781
42229	26364	42794	0.6160676730382764
38705	29739	31987	0.9297214493387939
4039	26251	32109	0.8175589398610982
3726	37369	46512	0.8034270725834193
59689	28970	31073	0.9323206642422682
3888	40347	57835	0.6976225469006657
37334	35306	42886	0.8232523434220957
3562	18023	21703	0.8304381882689029
28526	31055	47679	0.6513349692736844
90675	89948	94352	0.9533237239274207
4111	22157	42035	0.5271083620792197
3641	22240	27379	0.8123013988823551
63459	38945	44776	0.8697739860639628
74649	32037	39669	0.8076079558345307
29655	18101	20450	0.8851344743276284
37682	242149	258680	0.9360947889284058
4432	24166	26685	0.9056023983511335
3625	31846	33115	0.9616789974331874
57918	22387	32831	0.6818860223569188
4155	25322	28140	0.8998578535891969
180498	33440	57437	0.5822031094938802
4572	31011	33482	0.9261991517830476
3649	20284	27768	0.7304811293575338
29730	73425	78371	0.9368899210167027
49451	26392	33320	0.792076830732293
3821	37982	48680	0.7802382908792111
